IBGE7;UF;Município;Região;;;;
1100015;RO;Alta Floresta D´oeste;Região Norte;;;;
1100023;RO;Ariquemes;Região Norte;;;;
1100031;RO;Cabixi;Região Norte;;;;
1100049;RO;Cacoal;Região Norte;;;;
1100056;RO;Cerejeiras;Região Norte;;;;
1100064;RO;Colorado do Oeste;Região Norte;;;;
1100072;RO;Corumbiara;Região Norte;;;;
1100080;RO;Costa Marques;Região Norte;;;;
1100098;RO;Espigão D´oeste;Região Norte;;;;
1100106;RO;Guajará-mirim;Região Norte;;;;
1100114;RO;Jaru;Região Norte;;;;
1100122;RO;Ji-paraná;Região Norte;;;;
1100130;RO;Machadinho D´oeste;Região Norte;;;;
1100148;RO;Nova Brasilândia D´oeste;Região Norte;;;;
1100155;RO;Ouro Preto do Oeste;Região Norte;;;;
1100189;RO;Pimenta Bueno;Região Norte;;;;
1100205;RO;Porto Velho;Região Norte;;;;
1100254;RO;Presidente Médici;Região Norte;;;;
1100262;RO;Rio Crespo;Região Norte;;;;
1100288;RO;Rolim de Moura;Região Norte;;;;
1100296;RO;Santa Luzia D´oeste;Região Norte;;;;
1100304;RO;Vilhena;Região Norte;;;;
1100320;RO;São Miguel do Guaporé;Região Norte;;;;
1100338;RO;Nova Mamoré;Região Norte;;;;
1100346;RO;Alvorada D´oeste;Região Norte;;;;
1100379;RO;Alto Alegre Dos Parecis;Região Norte;;;;
1100403;RO;Alto Paraíso;Região Norte;;;;
1100452;RO;Buritis;Região Norte;;;;
1100502;RO;Novo Horizonte do Oeste;Região Norte;;;;
1100601;RO;Cacaulândia;Região Norte;;;;
1100700;RO;Campo Novo de Rondônia;Região Norte;;;;
1100809;RO;Candeias do Jamari;Região Norte;;;;
1100908;RO;Castanheiras;Região Norte;;;;
1100924;RO;Chupinguaia;Região Norte;;;;
1100940;RO;Cujubim;Região Norte;;;;
1101005;RO;Governador Jorge Teixeira;Região Norte;;;;
1101104;RO;Itapuã do Oeste;Região Norte;;;;
1101203;RO;Ministro Andreazza;Região Norte;;;;
1101302;RO;Mirante da Serra;Região Norte;;;;
1101401;RO;Monte Negro;Região Norte;;;;
1101435;RO;Nova União;Região Norte;;;;
1101450;RO;Parecis;Região Norte;;;;
1101468;RO;Pimenteiras do Oeste;Região Norte;;;;
1101476;RO;Primavera de Rondônia;Região Norte;;;;
1101484;RO;São Felipe D´oeste;Região Norte;;;;
1101492;RO;São Francisco do Guaporé;Região Norte;;;;
1101500;RO;Seringueiras;Região Norte;;;;
1101559;RO;Teixeirópolis;Região Norte;;;;
1101609;RO;Theobroma;Região Norte;;;;
1101708;RO;Urupá;Região Norte;;;;
1101757;RO;Vale do Anari;Região Norte;;;;
1101807;RO;Vale do Paraíso;Região Norte;;;;
1200013;AC;Acrelândia;Região Norte;;;;
1200054;AC;Assis Brasil;Região Norte;;;;
1200104;AC;Brasiléia;Região Norte;;;;
1200138;AC;Bujari;Região Norte;;;;
1200179;AC;Capixaba;Região Norte;;;;
1200203;AC;Cruzeiro do Sul;Região Norte;;;;
1200252;AC;Epitaciolândia;Região Norte;;;;
1200302;AC;Feijó;Região Norte;;;;
1200328;AC;Jordão;Região Norte;;;;
1200336;AC;Mâncio Lima;Região Norte;;;;
1200344;AC;Manoel Urbano;Região Norte;;;;
1200351;AC;Marechal Thaumaturgo;Região Norte;;;;
1200385;AC;Plácido de Castro;Região Norte;;;;
1200393;AC;Porto Walter;Região Norte;;;;
1200401;AC;Rio Branco;Região Norte;;;;
1200427;AC;Rodrigues Alves;Região Norte;;;;
1200435;AC;Santa Rosa do Purus;Região Norte;;;;
1200450;AC;Senador Guiomard;Região Norte;;;;
1200500;AC;Sena Madureira;Região Norte;;;;
1200609;AC;Tarauacá;Região Norte;;;;
1200708;AC;Xapuri;Região Norte;;;;
1200807;AC;Porto Acre;Região Norte;;;;
1300029;AM;Alvarães;Região Norte;;;;
1300060;AM;Amaturá;Região Norte;;;;
1300086;AM;Anamã;Região Norte;;;;
1300102;AM;Anori;Região Norte;;;;
1300144;AM;Apuí;Região Norte;;;;
1300201;AM;Atalaia do Norte;Região Norte;;;;
1300300;AM;Autazes;Região Norte;;;;
1300409;AM;Barcelos;Região Norte;;;;
1300508;AM;Barreirinha;Região Norte;;;;
1300607;AM;Benjamin Constant;Região Norte;;;;
1300631;AM;Beruri;Região Norte;;;;
1300680;AM;Boa Vista do Ramos;Região Norte;;;;
1300706;AM;Boca do Acre;Região Norte;;;;
1300805;AM;Borba;Região Norte;;;;
